Name,ISSN,Journal Impact Factor,eISSN
CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,254.7,1542-4863
LANCET,0140-6736,168.9,1474-547X
NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,158.5,1533-4406
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,120.7,1538-3598
NATURE REVIEWS DRUG DISCOVERY,1474-1776,120.1,1474-1784
NATURE REVIEWS DRUG DISCOVERY,1474-1776,120.1,1474-1784
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,112.7,1471-0080
BMJ-British Medical Journal,0959-535X,105.7,1756-1833
NATURE REVIEWS IMMUNOLOGY,1474-1733,100.3,1474-1741
NATURE REVIEWS MICROBIOLOGY,1740-1526,88.1,1740-1534
Nature Reviews Materials,2058-8437,83.5,2058-8437
Nature Reviews Materials,2058-8437,83.5,2058-8437
NATURE MEDICINE,1078-8956,82.9,1546-170X
NATURE MEDICINE,1078-8956,82.9,1546-170X
NATURE MEDICINE,1078-8956,82.9,1546-170X
Nature Reviews Disease Primers,2056-676X,81.5,2056-676X
Nature Reviews Clinical Oncology,1759-4774,78.8,1759-4782
NATURE REVIEWS CANCER,1474-175X,78.5,1474-1768
Lancet Respiratory Medicine,2213-2600,76.2,N/A
Lancet Respiratory Medicine,2213-2600,76.2,N/A
World Psychiatry,1723-8617,73.3,2051-5545
World Psychiatry,1723-8617,73.3,2051-5545
Nature Reviews Gastroenterology & Hepatology,1759-5045,65.1,1759-5053
NATURE,0028-0836,64.8,1476-4687
CELL,0092-8674,64.5,1097-4172
CELL,0092-8674,64.5,1097-4172
Lancet Psychiatry,2215-0374,64.3,N/A
Lancet Psychiatry,2215-0374,64.3,N/A
CHEMICAL REVIEWS,0009-2665,62.1,1520-6890
SCIENCE,0036-8075,56.9,1095-9203
Nature Energy,2058-7546,56.7,2058-7546
Nature Energy,2058-7546,56.7,2058-7546
LANCET INFECTIOUS DISEASES,1473-3099,56.3,1474-4457
LANCET ONCOLOGY,1470-2045,51.1,1474-5488
ANNALS OF ONCOLOGY,0923-7534,50.5,1569-8041
CANCER CELL,1535-6108,50.3,1878-3686
CANCER CELL,1535-6108,50.3,1878-3686
Lancet Public Health,2468-2667,50,2468-2667
Lancet Public Health,2468-2667,50,2468-2667
Nature Reviews Cardiology,1759-5002,49.6,1759-5010
LANCET NEUROLOGY,1474-4422,48,1474-4465
NATURE METHODS,1548-7091,48,1548-7105
NATURE BIOTECHNOLOGY,1087-0156,46.9,1546-1696
CHEMICAL SOCIETY REVIEWS,0306-0012,46.2,1460-4744
JOURNAL OF CLINICAL ONCOLOGY,0732-183X,45.3,1527-7755
Lancet Diabetes & Endocrinology,2213-8587,44.5,2213-8595
REVIEWS OF MODERN PHYSICS,0034-6861,44.1,1539-0756
CELL RESEARCH,1001-0602,44.1,1748-7838
NATURE REVIEWS GENETICS,1471-0056,42.7,1471-0064
Nature Reviews Earth & Environment,N/A,42.1,2662-138X
Nature Reviews Earth & Environment,N/A,42.1,2662-138X
Nature Reviews Nephrology,1759-5061,41.5,1759-507X
NATURE MATERIALS,1476-1122,41.2,1476-4660
NATURE MATERIALS,1476-1122,41.2,1476-4660
NATURE MATERIALS,1476-1122,41.2,1476-4660
NATURE MATERIALS,1476-1122,41.2,1476-4660
Living Reviews in Relativity,2367-3613,40.6,1433-8351
Nature Reviews Endocrinology,1759-5029,40.5,1759-5037
Joule,2542-4351,39.8,2542-4351
Joule,2542-4351,39.8,2542-4351
Joule,2542-4351,39.8,2542-4351
Nature Reviews Methods Primers,N/A,39.5,2662-8449
EUROPEAN HEART JOURNAL,0195-668X,39.3,1522-9645
Signal Transduction and Targeted Therapy,2095-9907,39.3,2059-3635
Signal Transduction and Targeted Therapy,2095-9907,39.3,2059-3635
ANNALS OF INTERNAL MEDICINE,0003-4819,39.2,1539-3704
JAMA Internal Medicine,2168-6106,39,2168-6114
INTENSIVE CARE MEDICINE,0342-4642,38.9,1432-1238
Nature Reviews Physics,N/A,38.5,2522-5820
Nature Reviews Physics,N/A,38.5,2522-5820
Nature Nanotechnology,1748-3387,38.3,1748-3395
Nature Nanotechnology,1748-3387,38.3,1748-3395
Lancet Microbe,N/A,38.2,2666-5247
Lancet Microbe,N/A,38.2,2666-5247
Nature Reviews Neurology,1759-4758,38.1,1759-4766
CIRCULATION,0009-7322,37.8,1524-4539
CIRCULATION,0009-7322,37.8,1524-4539
Nature Catalysis,2520-1158,37.8,2520-1158
PROGRESS IN MATERIALS SCIENCE,0079-6425,37.4,1873-2208
Molecular Cancer,N/A,37.3,1476-4598
Molecular Cancer,N/A,37.3,1476-4598
CLINICAL MICROBIOLOGY REVIEWS,0893-8512,36.8,1098-6618
Foundations and Trends in Computer Graphics and Vision,1572-2740,36.5,1572-2759
Lancet Child & Adolescent Health,2352-4642,36.4,2352-4642
Nature Reviews Chemistry,N/A,36.3,2397-3358
Annual Review of Pathology-Mechanisms of Disease,1553-4006,36.2,1553-4014
Lancet Gastroenterology & Hepatology,N/A,35.7,2468-1253
IEEE Communications Surveys and Tutorials,N/A,35.6,1553-877X
IEEE Communications Surveys and Tutorials,N/A,35.6,1553-877X
Nature Photonics,1749-4885,35,1749-4893
Nature Photonics,1749-4885,35,1749-4893
NATURE REVIEWS NEUROSCIENCE,1471-003X,34.7,1471-0048
Lancet Global Health,2214-109X,34.3,2214-109X
Lancet Global Health,2214-109X,34.3,2214-109X
Nature Electronics,2520-1131,34.3,2520-1131
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,33.9,1545-861X
MMWR Recommendations and Reports,1057-5987,33.7,1545-8601
Nature Reviews Rheumatology,1759-4790,33.7,1759-4804
PHYSIOLOGICAL REVIEWS,0031-9333,33.6,1522-1210
Cell Discovery,N/A,33.5,2056-5968
Annual Review of Astronomy and Astrophysics,0066-4146,33.3,1545-4282
Foundations and Trends in Machine Learning,1935-8237,32.8,1935-8245
Energy & Environmental Science,1754-5692,32.5,1754-5706
Energy & Environmental Science,1754-5692,32.5,1754-5706
Energy & Environmental Science,1754-5692,32.5,1754-5706
Energy & Environmental Science,1754-5692,32.5,1754-5706
Immunity,1074-7613,32.4,1097-4180
Innovation,2666-6758,32.1,2666-6758
Electrochemical Energy Reviews,2520-8489,31.3,2520-8136
MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,31,1879-212X
MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,31,1879-212X
NATURE GENETICS,1061-4036,30.8,1546-1718
Lancet Digital Health,N/A,30.8,2589-7500
Lancet Digital Health,N/A,30.8,2589-7500
Nature Climate Change,1758-678X,30.7,1758-6798
Nature Climate Change,1758-678X,30.7,1758-6798
Nature Climate Change,1758-678X,30.7,1758-6798
NATURE IMMUNOLOGY,1529-2908,30.5,1529-2916
Cell Host & Microbe,1931-3128,30.3,1934-6069
Cell Host & Microbe,1931-3128,30.3,1934-6069
Cell Host & Microbe,1931-3128,30.3,1934-6069
International Journal of Accounting and Information Management,1834-7649,30.2,1758-9037
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,30,1873-6270
Nature Human Behaviour,2397-3374,29.9,2397-3374
Nature Human Behaviour,2397-3374,29.9,2397-3374
Nature Human Behaviour,2397-3374,29.9,2397-3374
Annual Review of Immunology,0732-0582,29.7,1545-3278
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,29.5,1873-216X
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,29.5,1873-216X
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,29.5,1873-216X
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,29.5,1873-216X
Gastroenterology,0016-5085,29.4,1528-0012
ADVANCED MATERIALS,0935-9648,29.4,1521-4095
ADVANCED MATERIALS,0935-9648,29.4,1521-4095
ADVANCED MATERIALS,0935-9648,29.4,1521-4095
ADVANCED MATERIALS,0935-9648,29.4,1521-4095
ADVANCED MATERIALS,0935-9648,29.4,1521-4095
ADVANCED MATERIALS,0935-9648,29.4,1521-4095
BEHAVIORAL AND BRAIN SCIENCES,0140-525X,29.3,1469-1825
BEHAVIORAL AND BRAIN SCIENCES,0140-525X,29.3,1469-1825
BEHAVIORAL AND BRAIN SCIENCES,0140-525X,29.3,1469-1825
JAMA Neurology,2168-6149,29,2168-6157
Cell Metabolism,1550-4131,29,1932-7420
Cell Metabolism,1550-4131,29,1932-7420
Journal of Hematology & Oncology,N/A,28.5,1756-8722
Journal of Hematology & Oncology,N/A,28.5,1756-8722
JAMA Oncology,2374-2437,28.4,2374-2445
SusMat,2766-8479,28.4,2692-4552
SusMat,2766-8479,28.4,2692-4552
SusMat,2766-8479,28.4,2692-4552
Nature Microbiology,2058-5276,28.3,2058-5276
Cancer Discovery,2159-8274,28.2,2159-8290
JOURNAL OF INFECTION,0163-4453,28.2,1532-2742
Nature Biomedical Engineering,2157-846X,28.1,2157-846X
Advanced Energy Materials,1614-6832,27.8,1614-6840
Advanced Energy Materials,1614-6832,27.8,1614-6840
Advanced Energy Materials,1614-6832,27.8,1614-6840
Advanced Energy Materials,1614-6832,27.8,1614-6840
Advanced Energy Materials,1614-6832,27.8,1614-6840
Annual Review of Fluid Mechanics,0066-4189,27.7,1545-4479
Annual Review of Fluid Mechanics,0066-4189,27.7,1545-4479
Nature Sustainability,2398-9629,27.6,2398-9629
Nature Sustainability,2398-9629,27.6,2398-9629
Nature Sustainability,2398-9629,27.6,2398-9629
Molecular Plant,1674-2052,27.5,1752-9867
Molecular Plant,1674-2052,27.5,1752-9867
Dialogues in Human Geography,2043-8206,27.5,2043-8214
ANNALS OF THE RHEUMATIC DISEASES,0003-4967,27.4,1468-2060
Advances in Optics and Photonics,1943-8206,27.1,N/A
PROGRESS IN POLYMER SCIENCE,0079-6700,27.1,1873-1619
Nano-Micro Letters,2311-6706,26.6,2150-5551
Nano-Micro Letters,2311-6706,26.6,2150-5551
Nano-Micro Letters,2311-6706,26.6,2150-5551
JAMA Pediatrics,2168-6203,26.1,2168-6211
JAMA Psychiatry,2168-622X,25.8,2168-6238
JAMA Psychiatry,2168-622X,25.8,2168-6238
ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,25.8,1432-0754
JOURNAL OF HEPATOLOGY,0168-8278,25.7,1600-0641
Lancet Planetary Health,N/A,25.7,2542-5196
Lancet Planetary Health,N/A,25.7,2542-5196
Lancet Planetary Health,N/A,25.7,2542-5196
JOURNAL OF TRAVEL MEDICINE,1195-1982,25.7,1708-8305
JOURNAL OF TRAVEL MEDICINE,1195-1982,25.7,1708-8305
JOURNAL OF TRAVEL MEDICINE,1195-1982,25.7,1708-8305
Psychological Science in the Public Interest,1529-1006,25.4,1539-6053
Lancet Rheumatology,2665-9913,25.4,2665-9913
REVIEWS OF GEOPHYSICS,8755-1209,25.2,1944-9208
EnergyChem,2589-7780,25.1,2589-7780
EnergyChem,2589-7780,25.1,2589-7780
EnergyChem,2589-7780,25.1,2589-7780
EnergyChem,2589-7780,25.1,2589-7780
NATURE NEUROSCIENCE,1097-6256,25,1546-1726
Science Robotics,2470-9476,25,2470-9476
MMWR Surveillance Summaries,1545-8636,24.9,1545-8636
Science Immunology,2470-9468,24.8,2470-9468
Annual Review of Psychology,0066-4308,24.8,1545-2085
Annual Review of Psychology,0066-4308,24.8,1545-2085
Lancet Haematology,2352-3026,24.7,N/A
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,24.7,1535-4970
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,24.7,1535-4970
GUT,0017-5749,24.5,1468-3288
EUROPEAN RESPIRATORY JOURNAL,0903-1936,24.3,1399-3003
DRUG RESISTANCE UPDATES,1368-7646,24.3,1532-2084
Materials Today,1369-7021,24.2,1873-4103
Cellular & Molecular Immunology,1672-7681,24.1,2042-0226
JAMA Cardiology,2380-6583,24,2380-6591
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,24,1558-3597
Cell Stem Cell,1934-5909,23.9,1875-9777
Cell Stem Cell,1934-5909,23.9,1875-9777
Annual Review of Plant Biology,1543-5008,23.9,1545-2123
Nature Machine Intelligence,N/A,23.8,2522-5839
Nature Machine Intelligence,N/A,23.8,2522-5839
Annual Review of Entomology,0066-4170,23.8,1545-4487
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,23.6,1939-3539
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,23.6,1939-3539
Chem,2451-9294,23.5,2451-9294
EUROPEAN UROLOGY,0302-2838,23.4,1873-7560
Nature Food,N/A,23.2,2662-1355
PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,22.8,1423-0348
PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,22.8,1423-0348
PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,22.8,1423-0348
COMMUNICATIONS OF THE ACM,0001-0782,22.7,1557-7317
COMMUNICATIONS OF THE ACM,0001-0782,22.7,1557-7317
COMMUNICATIONS OF THE ACM,0001-0782,22.7,1557-7317
Nature Cancer,N/A,22.7,2662-1347
InfoMat,N/A,22.7,2567-3165
Annual Review of Condensed Matter Physics,1947-5454,22.6,1947-5462
PSYCHOLOGICAL BULLETIN,0033-2909,22.4,1939-1455
PSYCHOLOGICAL BULLETIN,0033-2909,22.4,1939-1455
APPLIED CATALYSIS B-ENVIRONMENTAL,0926-3373,22.1,1873-3883
APPLIED CATALYSIS B-ENVIRONMENTAL,0926-3373,22.1,1873-3883
APPLIED CATALYSIS B-ENVIRONMENTAL,0926-3373,22.1,1873-3883
ACS Energy Letters,2380-8195,22,2380-8195
ACS Energy Letters,2380-8195,22,2380-8195
ACS Energy Letters,2380-8195,22,2380-8195
ACS Energy Letters,2380-8195,22,2380-8195
ACS Energy Letters,2380-8195,22,2380-8195
Nature Chemistry,1755-4330,21.8,1755-4349
NATURE CELL BIOLOGY,1465-7392,21.3,1476-4679
Academy of Management Annals,1941-6520,21.2,1941-6067
Academy of Management Annals,1941-6520,21.2,1941-6067
PHARMACOLOGICAL REVIEWS,0031-6997,21.1,1521-0081
Military Medical Research,2095-7467,21.1,2054-9369
Protein & Cell,1674-800X,21.1,1674-8018
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,0268-4012,21,1873-4707
Lancet Regional Health-Europe,2666-7762,20.9,2666-7762
Lancet Regional Health-Europe,2666-7762,20.9,2666-7762
Living Reviews in Solar Physics,2367-3648,20.9,1614-4961
Nature Metabolism,N/A,20.8,2522-5812
Annual Review of Public Health,0163-7525,20.8,1545-2093
Annual Review of Public Health,0163-7525,20.8,1545-2093
PROCEEDINGS OF THE IEEE,0018-9219,20.6,1558-2256
National Science Review,2095-5138,20.6,2053-714X
COORDINATION CHEMISTRY REVIEWS,0010-8545,20.6,1873-3840
TRENDS IN PLANT SCIENCE,1360-1385,20.5,1878-4372
Carbon Energy,N/A,20.5,2637-9368
Carbon Energy,N/A,20.5,2637-9368
Carbon Energy,N/A,20.5,2637-9368
Carbon Energy,N/A,20.5,2637-9368
Journal of Thoracic Oncology,1556-0864,20.4,1556-1380
Journal of Thoracic Oncology,1556-0864,20.4,1556-1380
Energy Storage Materials,2405-8297,20.4,2405-8289
Energy Storage Materials,2405-8297,20.4,2405-8289
Energy Storage Materials,2405-8297,20.4,2405-8289
SmartMat,2766-8525,20.4,2688-819X
SmartMat,2766-8525,20.4,2688-819X
FUNGAL DIVERSITY,1560-2745,20.3,1878-9129
BLOOD,0006-4971,20.3,1528-0020
ENDOCRINE REVIEWS,0163-769X,20.3,1945-7189
CIRCULATION RESEARCH,0009-7330,20.1,1524-4571
CIRCULATION RESEARCH,0009-7330,20.1,1524-4571
CIRCULATION RESEARCH,0009-7330,20.1,1524-4571
Advanced Composites and Hybrid Materials,2522-0128,20.1,2522-0136
Advanced Composites and Hybrid Materials,2522-0128,20.1,2522-0136
TRENDS IN COGNITIVE SCIENCES,1364-6613,19.9,1879-307X
TRENDS IN COGNITIVE SCIENCES,1364-6613,19.9,1879-307X
TRENDS IN COGNITIVE SCIENCES,1364-6613,19.9,1879-307X
RADIOLOGY,0033-8419,19.7,N/A
Nature Physics,1745-2473,19.6,1745-2481
KIDNEY INTERNATIONAL,0085-2538,19.6,1523-1755
INTERNATIONAL JOURNAL OF COMPUTER VISION,0920-5691,19.5,1573-1405
Light-Science & Applications,2095-5545,19.4,2047-7538
Qualitative Research in Psychology,1478-0887,19,1478-0895
Eurosurveillance,1025-496X,19,1560-7917
ADVANCED FUNCTIONAL MATERIALS,1616-301X,19,1616-3028
ADVANCED FUNCTIONAL MATERIALS,1616-301X,19,1616-3028
ADVANCED FUNCTIONAL MATERIALS,1616-301X,19,1616-3028
ADVANCED FUNCTIONAL MATERIALS,1616-301X,19,1616-3028
ADVANCED FUNCTIONAL MATERIALS,1616-301X,19,1616-3028
ADVANCED FUNCTIONAL MATERIALS,1616-301X,19,1616-3028
TRENDS IN CELL BIOLOGY,0962-8924,19,1879-3088
Bioactive Materials,N/A,18.9,2452-199X
Bioactive Materials,N/A,18.9,2452-199X
Science Bulletin,2095-9273,18.9,2095-9281
Matter,2590-2393,18.9,2590-2385
Aggregate,N/A,18.8,2692-4560
Aggregate,N/A,18.8,2692-4560
Aggregate,N/A,18.8,2692-4560
Information Fusion,1566-2535,18.6,1872-6305
Information Fusion,1566-2535,18.6,1872-6305
PERIODONTOLOGY 2000,0906-6713,18.6,1600-0757
Annual Review of Clinical Psychology,1548-5943,18.4,1548-5951
Annual Review of Clinical Psychology,1548-5943,18.4,1548-5951
BRITISH JOURNAL OF SPORTS MEDICINE,0306-3674,18.4,1473-0480
Trends in Cancer,2405-8025,18.4,2405-8033
Nature Geoscience,1752-0894,18.3,1752-0908
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,18.3,1520-4898
EUROPEAN JOURNAL OF HEART FAILURE,1388-9842,18.2,1879-0844
ACS Central Science,2374-7943,18.2,2374-7951
Annual Review of Physiology,0066-4278,18.2,1545-1585
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,0092-0703,18.2,1552-7824
Journal of Innovation & Knowledge,2530-7614,18.1,2444-569X
Journal of Innovation & Knowledge,2530-7614,18.1,2444-569X
REPORTS ON PROGRESS IN PHYSICS,0034-4885,18.1,1361-6633
Nature Plants,2055-026X,18,2055-0278
Archives of Cardiovascular Diseases Supplements,1878-6480,18,1878-6502
PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,17.8,1873-1635
AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,17.7,1535-7228
AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,17.7,1535-7228
Nano Energy,2211-2855,17.6,2211-3282
Nano Energy,2211-2855,17.6,2211-3282
Nano Energy,2211-2855,17.6,2211-3282
Nano Energy,2211-2855,17.6,2211-3282
IEEE Reviews in Biomedical Engineering,1937-3333,17.6,1941-1189
Journal of Magnesium and Alloys,2213-9567,17.6,2213-9567
Nano Today,1748-0132,17.4,1878-044X
Nano Today,1748-0132,17.4,1878-044X
Nano Today,1748-0132,17.4,1878-044X
Advanced Photonics,N/A,17.3,2577-5421
Annual Review of Marine Science,1941-1405,17.3,1941-0611
Annual Review of Marine Science,1941-1405,17.3,1941-0611
TRENDS IN BIOTECHNOLOGY,0167-7799,17.3,1879-3096
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,0141-0768,17.3,1758-1095
Science Translational Medicine,1946-6234,17.1,1946-6242
Science Translational Medicine,1946-6234,17.1,1946-6242
ACS Nano,1936-0851,17.1,1936-086X
ACS Nano,1936-0851,17.1,1936-086X
ACS Nano,1936-0851,17.1,1936-086X
ACS Nano,1936-0851,17.1,1936-086X
Med,2666-6340,17,2666-6340
JAMA Surgery,2168-6254,16.9,2168-6262
Journal of Advanced Ceramics,2226-4108,16.9,2227-8508
Nature Ecology & Evolution,2397-334X,16.8,2397-334X
Nature Ecology & Evolution,2397-334X,16.8,2397-334X
NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9993,16.8,1545-9985
NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9993,16.8,1545-9985
NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9993,16.8,1545-9985
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,16.8,1872-8383
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,16.8,1872-8383
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,16.8,1872-8383
TRENDS IN IMMUNOLOGY,1471-4906,16.8,1471-4981
ACM COMPUTING SURVEYS,0360-0300,16.6,1557-7341
Nature Communications,N/A,16.6,2041-1723
Nature Aging,N/A,16.6,2662-8465
Nature Aging,N/A,16.6,2662-8465
Nature Aging,N/A,16.6,2662-8465
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1433-7851,16.6,1521-3773
Annual Review of Biochemistry,0066-4154,16.6,1545-4509
STUDIES IN MYCOLOGY,0166-0616,16.5,1872-9797
PhotoniX,N/A,16.5,2662-1991
Chinese Journal of Catalysis,0253-9837,16.5,1872-2067
Chinese Journal of Catalysis,0253-9837,16.5,1872-2067
Chinese Journal of Catalysis,0253-9837,16.5,1872-2067
AMERICAN PSYCHOLOGIST,0003-066X,16.4,1935-990X
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,16.4,1558-0008
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,16.4,1558-0008
ACADEMY OF MANAGEMENT REVIEW,0363-7425,16.4,1930-3807
